rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
58,donchian_bo,MU,1d,0.0611,0.0234,0.0014,0.154,0.4863,1.0399,0.0142,146,0.1479,0.0005,0.2065,-0.0956,2515,False,False,False,0.2465
59,squeeze_momentum,ORCL,1d,0.0494,0.0152,0.0011,0.0819,0.2941,1.1225,0.0114,17,0.1125,0.0021,0.1328,-0.1075,2515,False,False,False,0.2361
60,squeeze_momentum,SOXL,1d,0.0865,0.0203,0.0034,0.2246,0.3,1.2353,0.03,10,0.0811,0.0121,0.4983,-0.1084,2169,False,True,False,0.2299
61,squeeze_momentum,JPM,1d,0.045,0.0162,0.001,0.1628,0.3158,1.0892,0.0099,19,0.1145,0.0017,0.1389,-0.0745,2515,False,False,False,0.22
62,williams_r,SOXL,1d,0.0394,0.0138,-0.0251,0.2354,0.5714,1.1158,-0.047,7,0.1653,0.0059,0.2248,-0.2415,478,False,True,False,0.0
63,bb_reversion,COST,1d,-0.4074,-0.1088,-0.0257,0.2054,0.4048,0.5528,-0.2054,42,0.0575,-0.0054,0.0805,-0.0707,2225,False,True,False,0.0
64,rsi_reversion,MU,1d,-0.0376,-0.0059,-0.0004,0.0181,0.6111,0.8752,-0.0043,18,0.0258,-0.0017,0.0443,-0.1042,2515,False,False,False,0.0
65,williams_r,ORCL,1d,-0.9232,-0.2963,-0.0577,0.2076,0.4444,0.3762,-0.1776,18,0.153,-0.0121,0.0295,-0.1007,830,False,True,False,0.0
66,rsi_reversion,HD,1d,-0.07,-0.0138,-0.0005,0.0167,0.5185,0.8107,-0.0049,27,0.0417,-0.0021,0.0596,-0.0553,2515,False,False,False,0.0
67,bb_reversion,MU,1d,-0.0259,-0.0071,-0.0142,0.2122,0.5357,0.9021,-0.0591,28,0.0735,-0.0016,0.0902,-0.078,1075,False,True,False,0.0
68,donchian_bo,HD,1d,-0.349,-0.1335,-0.0027,0.0333,0.3857,0.7735,-0.0268,140,0.1523,-0.0014,0.0641,-0.0354,2515,False,False,False,0.0
69,cci_trend,SOXL,1d,-3.5828,-1.2981,-0.4049,0.2027,0.0,0.0,-0.2027,3,0.1532,-0.113,-0.0754,-0.1758,111,False,True,False,0.0
70,bb_reversion,HD,1d,-0.1805,-0.0447,-0.0191,0.2013,0.4651,0.7037,-0.1339,43,0.067,-0.003,0.0646,-0.0949,1882,False,True,False,0.0
71,bb_reversion,SOXL,1d,0.027,0.0064,-0.0153,0.256,0.6,1.0093,-0.0367,15,0.0621,0.0003,0.1529,-0.1509,612,False,True,False,0.0
