rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
129,macd_momentum,BTC/USDT,4h,-0.2983,-0.2114,-0.017,0.0339,0.2,0.3388,-0.0096,5,0.3986,-0.0235,0.0603,-0.0575,143,False,True,False,0.0
130,bb_reversion,BTC/USDT,4h,-1.048,-0.3106,-0.0485,0.0335,0.5,0.2891,-0.028,6,0.1034,-0.0051,0.0089,-0.0341,145,False,True,False,0.0
131,donchian_bo,SPY,1d,-1.4893,-0.6326,-0.0055,0.0287,0.3039,0.4028,-0.0269,102,0.2174,-0.0027,0.0256,-0.0252,1256,False,False,False,0.0
132,triple_screen,SPY,1d,-0.7011,-0.3894,-0.0284,0.1396,0.5508,0.6423,-0.1337,118,0.3575,-0.0025,0.029,-0.0768,1256,False,False,False,0.0
133,atr_breakout,SPY,1d,-0.2076,-0.1601,-0.0094,0.1325,0.3171,0.8744,-0.0459,82,0.715,-0.0013,0.1445,-0.0596,1256,False,False,False,0.0
134,zscore_reversion,ETH/USDT,4h,-3.086,-0.892,-0.1558,0.0264,0.5,0.0657,-0.0239,2,0.1351,-0.0425,0.006,-0.0909,37,False,True,False,0.0
135,alpha_composite,MA,1d,-0.0803,-0.0692,-0.0086,0.1563,0.4327,0.7988,-0.0419,171,0.6513,-0.0018,0.0568,-0.0996,1256,False,False,False,0.0
136,triple_screen,BTC/USDT,4h,-0.8688,-0.4808,-0.0331,0.1034,0.3913,0.4906,-0.0997,46,0.2999,-0.005,0.0376,-0.0497,787,False,True,False,0.0
137,vwap_reversion,ETH/USDT,4h,-2.4495,-0.378,-0.1922,0.035,0.0,0.0,-0.035,1,0.0,-0.06,-0.06,-0.06,43,False,True,False,0.0
138,donchian_bo,BTC/USDT,4h,-0.5434,-0.1974,-0.0028,0.055,0.2788,0.5857,-0.0469,165,0.0895,-0.0023,0.075,-0.0487,4381,False,False,False,0.0
139,bb_reversion,ETH/USDT,1d,-2.1804,-0.6187,-0.3867,0.2203,0.6,0.1599,-0.2077,5,0.1074,-0.0446,0.0269,-0.1931,121,False,True,False,0.0
140,ema_crossover,BTC/USDT,4h,-0.0165,-0.0123,-0.0002,0.049,0.3152,0.929,-0.004,92,0.5264,-0.0011,0.2695,-0.0565,4381,False,False,False,0.0
141,rsi_reversion,ETH/USDT,4h,-0.225,-0.0633,-0.0026,0.0524,0.589,0.5352,-0.0441,73,0.0772,-0.0061,0.0529,-0.1825,4380,False,False,False,0.0
142,triple_screen,ETH/USDT,4h,-0.6899,-0.4779,-0.0321,0.1287,0.4,0.6169,-0.1185,65,0.3049,-0.0042,0.1051,-0.0539,974,False,True,False,0.0
143,zscore_reversion,ETH/USDT,1d,-0.4778,-0.3723,-0.0587,0.2076,0.6522,0.6076,-0.1475,23,0.5886,-0.0214,0.1887,-0.4706,666,False,True,False,0.0
144,momentum_long,ETH/USDT,1d,-0.2642,-0.1526,-0.0349,0.1767,0.25,0.2109,-0.0977,4,0.3342,-0.0846,0.0905,-0.3624,730,False,False,False,0.0
145,rsi_reversion,BTC/USDT,1d,-0.2199,-0.0433,-0.0039,0.0371,0.625,0.6465,-0.0112,8,0.0397,-0.0078,0.0358,-0.1063,730,False,False,False,0.0
146,vwap_reversion,ETH/USDT,1d,-0.348,-0.2728,-0.0503,0.189,0.6111,0.6849,-0.1388,36,0.5896,-0.0119,0.1069,-0.3569,731,False,False,False,0.0
147,zscore_reversion,QQQ,1d,-0.0033,-0.002,-0.0013,0.1052,0.5926,0.9781,-0.0064,54,0.389,-0.0002,0.0711,-0.1089,1257,False,False,False,0.0
148,bb_reversion,BTC/USDT,1d,-0.2556,-0.0738,-0.0419,0.2071,0.619,0.7385,-0.1074,21,0.0851,-0.0046,0.0742,-0.1428,670,False,True,False,0.0
149,alpha_composite,ETH/USDT,1d,-1.1068,-0.9192,-0.1381,0.2001,0.3488,0.4967,-0.1941,43,0.624,-0.0166,0.3644,-0.216,367,False,True,False,0.0
150,ema_crossover,ETH/USDT,4h,-0.2683,-0.1988,-0.004,0.0924,0.2056,0.7694,-0.0672,107,0.5081,-0.0059,0.4138,-0.1646,4381,False,False,False,0.0
151,atr_breakout,ETH/USDT,4h,-0.1948,-0.1691,-0.0114,0.0928,0.2449,0.8324,-0.0336,49,0.504,-0.0017,0.1944,-0.0416,750,False,True,False,0.0
152,triple_screen,BTC/USDT,1d,-0.1868,-0.1178,-0.0174,0.131,0.5532,0.8837,-0.0496,47,0.3105,-0.0021,0.0719,-0.0819,731,False,False,False,0.0
153,alpha_composite,BTC/USDT,4h,-0.1023,-0.0872,-0.0053,0.1142,0.4348,0.975,-0.0361,230,0.6139,-0.0002,0.2864,-0.0492,1730,False,True,False,0.0
154,vwap_reversion,BTC/USDT,1d,-0.2761,-0.2093,-0.0231,0.1395,0.6585,0.7076,-0.0655,41,0.5212,-0.0053,0.0477,-0.2682,731,False,False,False,0.0
155,triple_screen,QQQ,1d,-0.1468,-0.0861,-0.0086,0.1152,0.566,0.9121,-0.042,106,0.3742,-0.0007,0.039,-0.0772,1256,False,False,False,0.0
156,donchian_bo,QQQ,1d,-0.4295,-0.1902,-0.0024,0.014,0.3882,0.7226,-0.0119,85,0.1903,-0.0014,0.0428,-0.0256,1256,False,False,False,0.0
157,alpha_composite,BTC/USDT,1d,-0.2668,-0.2318,-0.0328,0.2004,0.4605,1.0649,-0.0839,76,0.7033,0.0012,0.5001,-0.1346,664,False,True,False,0.0
158,macd_momentum,QQQ,1d,-0.0708,-0.0497,-0.0024,0.0536,0.4255,0.9904,-0.012,47,0.5143,-0.0002,0.1294,-0.1044,1256,False,False,False,0.0
159,momentum_long,ETH/USDT,4h,-0.7655,-0.4294,-0.024,0.1014,0.2,0.0305,-0.0796,5,0.3477,-0.0575,0.009,-0.1171,860,False,True,False,0.0
160,alpha_composite,SPY,1d,-0.1907,-0.1543,-0.0079,0.094,0.5211,0.8041,-0.0387,190,0.6083,-0.001,0.048,-0.0873,1256,False,False,False,0.0
161,zscore_reversion,BTC/USDT,4h,-0.1874,-0.1357,-0.0067,0.1254,0.7016,0.7367,-0.101,191,0.5314,-0.0022,0.054,-0.1466,3991,False,True,False,0.0
162,momentum_long,CRWD,1d,-0.3044,-0.1175,-0.095,0.206,0.0,0.0,-0.0621,1,0.1902,-0.0662,-0.0662,-0.0662,163,False,True,False,0.0
163,atr_breakout,MA,1d,-0.3816,-0.2826,-0.025,0.1381,0.2556,0.7177,-0.1186,90,0.6298,-0.0035,0.1089,-0.0578,1256,False,False,False,0.0
164,bb_reversion,AVGO,1d,-0.9836,-0.2266,-0.0642,0.2137,0.4667,0.3804,-0.1823,15,0.0548,-0.0133,0.0402,-0.0948,766,False,True,False,0.0
165,triple_screen,GOOG,1d,-1.8483,-0.8174,-0.1076,0.2051,0.4167,0.285,-0.1925,36,0.2848,-0.0119,0.0272,-0.0578,474,False,True,False,0.0
166,alpha_composite,GOOG,1d,-0.436,-0.3474,-0.0443,0.2009,0.4421,0.8557,-0.1613,95,0.7061,-0.0025,0.2035,-0.1115,980,False,True,False,0.0
