rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
47,rsi_reversion,BTC/USDT,1d,0.5798,1.5648,0.006,0.0002,1.0,999.9,0.0176,1,0.0027,0.1186,0.1186,0.1186,730,False,False,True,0.5499
48,rsi_reversion,ETH/USDT,1d,0.5802,1.6384,0.0041,0.0002,1.0,999.9,0.012,1,0.0027,0.1261,0.1261,0.1261,730,False,False,True,0.5443
49,rsi_reversion,QQQ,1d,0.6315,0.248,0.0055,0.0092,0.7,3.0511,0.0277,30,0.074,0.0091,0.0673,-0.0477,1256,False,False,True,0.5373
50,ema_crossover,BTC/USDT,4h,0.6356,0.5383,0.0175,0.0299,0.32,1.6638,0.1009,25,0.5393,0.0097,0.2473,-0.0511,1400,False,True,True,0.5328
51,zscore_reversion,GOOG,1d,0.4709,0.3269,0.0304,0.1098,0.7447,1.7087,0.1608,47,0.4018,0.0078,0.0945,-0.1298,1257,False,False,False,0.5321
52,vwap_reversion,V,1d,0.4652,0.3661,0.0311,0.0553,0.5769,1.4783,0.1649,78,0.4805,0.0033,0.1103,-0.0695,1257,False,False,False,0.526
53,momentum_long,NVO,1d,0.434,0.3203,0.0472,0.1963,0.5,3.662,0.2585,6,0.5597,0.1489,1.17,-0.1784,1256,False,False,False,0.5259
54,ema_crossover,TSLA,1d,0.5311,0.3916,0.0271,0.0707,0.3913,2.1659,0.1424,23,0.5342,0.0461,0.5624,-0.1176,1256,False,False,False,0.5187
55,ema_crossover,PLTR,1d,0.4625,0.3858,0.0455,0.1566,0.25,2.2695,0.2483,24,0.5677,0.0564,1.1891,-0.1495,1256,False,False,False,0.5152
56,donchian_bo,PLTR,1d,0.4981,0.3035,0.0312,0.063,0.3472,0.9146,0.1653,72,0.1465,-0.0016,0.2792,-0.1516,1256,False,False,False,0.515
57,momentum_long,BTC/USDT,4h,0.5533,0.5025,0.0227,0.061,0.3636,2.9859,0.1386,11,0.7349,0.0451,0.5525,-0.0913,1460,False,True,True,0.5136
58,alpha_composite,META,1d,0.4084,0.3708,0.0457,0.1951,0.5047,1.5902,0.2491,107,0.7054,0.0103,1.2937,-0.2921,1256,False,False,False,0.5119
59,bb_reversion,NOW,1d,0.3969,0.1333,0.0358,0.1331,0.6667,1.6221,0.1914,42,0.0884,0.0048,0.0639,-0.0856,1256,False,False,False,0.5062
60,ema_crossover,MSFT,1d,0.6168,0.4819,0.0105,0.0362,0.3478,2.0434,0.0536,23,0.5589,0.0245,0.2893,-0.0902,1256,False,False,False,0.5058
61,ema_crossover,CRWD,1d,0.5063,0.3873,0.0184,0.0631,0.5,2.1985,0.0951,22,0.5868,0.046,0.893,-0.2012,1256,False,False,False,0.4951
62,ema_crossover,GOOG,1d,0.5543,0.4427,0.0138,0.0491,0.3846,2.1584,0.0707,26,0.6441,0.0317,0.8683,-0.0804,1256,False,False,False,0.4918
63,macd_momentum,AAPL,1d,0.5121,0.3765,0.0164,0.0518,0.42,1.3708,0.0844,50,0.5139,0.0066,0.1924,-0.1351,1257,False,False,False,0.4857
64,triple_screen,BTC/USDT,1d,0.3943,0.2606,0.0283,0.0877,0.5897,1.3571,0.0841,39,0.3014,0.0049,0.0719,-0.0792,730,False,False,True,0.484
65,atr_breakout,BTC/USDT,1d,0.4088,0.349,0.036,0.1177,0.2889,1.4453,0.1077,45,0.5349,0.007,0.3882,-0.0881,731,False,False,True,0.4769
66,macd_momentum,AMZN,1d,0.4328,0.3433,0.0285,0.0923,0.3559,0.9748,0.1506,59,0.5386,-0.0006,0.2462,-0.1675,1257,False,False,False,0.4758
67,zscore_reversion,SPY,1d,0.3727,0.2858,0.0238,0.0748,0.6818,1.4083,0.1245,66,0.3954,0.0025,0.0408,-0.0821,1257,False,False,True,0.4737
68,vwap_reversion,NOW,1d,0.3687,0.2645,0.0301,0.1608,0.6543,1.2665,0.1593,81,0.5091,0.0048,0.1821,-0.3241,1257,False,False,False,0.471
69,bb_reversion,SPY,1d,0.3545,0.1641,0.027,0.0982,0.6739,1.62,0.1418,46,0.1529,0.0032,0.0359,-0.0528,1256,False,False,True,0.4706
70,triple_screen,ETH/USDT,1d,0.3177,0.1979,0.0329,0.1356,0.7,1.3476,0.0984,30,0.2271,0.0091,0.2112,-0.1449,731,False,False,True,0.4687
71,rsi_reversion,SPY,1d,0.4442,0.1457,0.0048,0.0083,0.7778,14.3769,0.024,9,0.0215,0.017,0.0846,-0.0095,1256,False,False,True,0.4682
72,atr_breakout,SPY,1d,0.4724,0.3717,0.0185,0.0713,0.375,1.4857,0.0957,56,0.7078,0.0045,0.2118,-0.0379,1256,False,False,True,0.4677
73,vwap_reversion,SPY,1d,0.3966,0.2712,0.0157,0.0556,0.6515,1.0759,0.0806,66,0.4089,0.0005,0.035,-0.1054,1257,False,False,True,0.4598
74,macd_momentum,QQQ,1d,0.4662,0.3572,0.0144,0.0567,0.4107,1.0758,0.074,56,0.5139,0.0011,0.1181,-0.0873,1257,False,False,True,0.4594
75,alpha_composite,SPY,1d,0.3925,0.3367,0.0188,0.087,0.5617,0.9758,0.0971,162,0.6433,-0.0001,0.0801,-0.0873,1256,False,False,True,0.4522
76,rsi_reversion,MSFT,1d,0.4279,0.0818,0.0027,0.0061,0.6667,3.5153,0.0136,12,0.0311,0.0125,0.0856,-0.0223,1256,False,False,False,0.4447
77,ema_crossover,ETH/USDT,1d,0.4053,0.2946,0.0251,0.0697,0.2,1.3176,0.0744,10,0.3932,0.0234,0.8212,-0.1722,730,False,False,True,0.4435
78,rsi_reversion,MA,1d,0.4325,0.1048,0.0025,0.0094,0.625,4.3144,0.0126,8,0.0223,0.0113,0.0577,-0.0252,1256,False,False,False,0.4411
