strategy,symbol,timeframe,valid_combos,best_sharpe,best_cagr,best_max_drawdown,best_trade_count,gate1_pass,wf_folds,overfitting_score,gate2_pass,best_params,error
hull_ma_crossover+stop,MA,1d,27,0.552,0.0448,0.2012,21,False,14,0.0314,False,"{""fast_period"": 34, ""slow_period"": 144, ""trend_period"": 200}",
hull_ma_crossover+stop,META,1d,27,0.3659,0.0361,0.1678,29,False,14,0.7284,True,"{""fast_period"": 34, ""slow_period"": 144, ""trend_period"": 200}",
hull_ma_crossover+stop,MSFT,1d,27,0.5539,0.0519,0.1737,46,False,14,0.5261,False,"{""fast_period"": 21, ""slow_period"": 144, ""trend_period"": 50}",
hull_ma_crossover+stop,MSFT-GOOG,1d,27,-0.1983,-0.0197,0.139,16,False,4,15.9408,True,"{""fast_period"": 34, ""slow_period"": 50, ""trend_period"": 200}",
hull_ma_crossover+stop,NOW,1d,27,0.6124,0.0805,0.207,66,False,14,0.3317,False,"{""fast_period"": 13, ""slow_period"": 50, ""trend_period"": 100}",
hull_ma_crossover+stop,NVDA,1d,27,0.6611,0.113,0.2099,8,False,14,0.5567,False,"{""fast_period"": 21, ""slow_period"": 50, ""trend_period"": 200}",
hull_ma_crossover+stop,NVDA-AVGO,1d,27,0.8935,0.1718,0.2263,16,False,4,0.2224,False,"{""fast_period"": 34, ""slow_period"": 50, ""trend_period"": 50}",
hull_ma_crossover+stop,NVO,1d,27,0.6091,0.0516,0.1713,26,False,14,0.5944,False,"{""fast_period"": 34, ""slow_period"": 89, ""trend_period"": 100}",
hull_ma_crossover+stop,PLTR,1d,27,0.8448,0.1422,0.2028,4,False,6,0.0702,False,"{""fast_period"": 34, ""slow_period"": 50, ""trend_period"": 200}",
hull_ma_crossover+stop,QQQ,1d,27,0.6514,0.0445,0.1052,41,False,14,0.4306,False,"{""fast_period"": 21, ""slow_period"": 144, ""trend_period"": 50}",
hull_ma_crossover+stop,SPY,1d,27,0.4578,0.023,0.0968,55,False,14,0.2793,False,"{""fast_period"": 34, ""slow_period"": 50, ""trend_period"": 50}",
hull_ma_crossover+stop,TSLA,1d,27,0.518,0.058,0.2002,6,False,14,0.3143,False,"{""fast_period"": 34, ""slow_period"": 50, ""trend_period"": 200}",
hull_ma_crossover+stop,V,1d,27,0.3924,0.0281,0.2043,23,False,14,0.168,False,"{""fast_period"": 34, ""slow_period"": 89, ""trend_period"": 200}",
hull_ma_crossover+stop,V-MA,1d,27,-0.2358,-0.0076,0.0665,12,False,4,0.693,False,"{""fast_period"": 34, ""slow_period"": 144, ""trend_period"": 50}",
