strategy,base_strategy,regime_filtered,symbol,timeframe,sharpe,cagr,max_drawdown,win_rate,profit_factor,trade_count,total_return,gate1_pass,halted
alpha_momentum_v2+regime,alpha_momentum_v2,True,NOW,1d,-1.1495,-0.1185,0.2159,0.1429,0.16,14,-0.2159,False,True
ema_crossover,ema_crossover,False,NVDA,1d,1.0562,0.0599,0.0662,0.3846,2.77,26,0.3359,False,False
ema_crossover+regime,ema_crossover,True,NVDA,1d,0.9401,0.1205,0.1145,0.36,2.04,25,0.7624,False,False
donchian_bo,donchian_bo,False,NVDA,1d,0.5528,0.0234,0.0474,0.4023,0.78,87,0.122,False,False
donchian_bo+regime,donchian_bo,True,NVDA,1d,0.5566,0.0218,0.0375,0.4394,0.74,66,0.1132,False,False
macd_momentum,macd_momentum,False,NVDA,1d,1.0557,0.0991,0.1789,0.3958,1.93,48,0.6016,False,False
macd_momentum+regime,macd_momentum,True,NVDA,1d,0.4566,0.0405,0.1711,0.3784,1.8,37,0.2186,False,False
triple_screen,triple_screen,False,NVDA,1d,0.5262,0.0687,0.1996,0.6577,1.41,111,0.3922,False,False
triple_screen+regime,triple_screen,True,NVDA,1d,0.5325,0.0609,0.1996,0.6522,1.47,92,0.3424,False,False
atr_breakout,atr_breakout,False,NVDA,1d,0.3007,0.0338,0.2011,0.3,1.25,20,0.0477,False,True
atr_breakout+regime,atr_breakout,True,NVDA,1d,0.6681,0.0799,0.1705,0.3019,1.87,53,0.4663,False,False
momentum_long,momentum_long,False,NVDA,1d,0.9715,0.302,0.2178,1.0,999.9,1,0.2317,False,True
momentum_long+regime,momentum_long,True,NVDA,1d,-1.1344,-0.2028,0.2132,0.4,0.17,5,-0.2056,False,True
alpha_composite,alpha_composite,False,NVDA,1d,1.0975,0.3021,0.201,0.6429,2.41,14,0.3048,False,True
alpha_composite+regime,alpha_composite,True,NVDA,1d,0.7548,0.1458,0.2014,0.4194,1.96,62,0.9554,False,True
alpha_trend_v2,alpha_trend_v2,False,NVDA,1d,0.2143,0.02,0.2003,0.5278,1.14,36,0.0296,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,NVDA,1d,0.9112,0.2132,0.2112,0.5,2.58,34,0.931,False,True
alpha_momentum_v2,alpha_momentum_v2,False,NVDA,1d,2.026,0.8997,0.2016,0.6667,3.89,9,0.6897,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,NVDA,1d,1.0491,0.2851,0.2227,0.463,2.18,54,2.3486,False,True
ema_crossover,ema_crossover,False,NVO,1d,0.3349,0.0112,0.0793,0.2903,0.97,31,0.057,False,False
ema_crossover+regime,ema_crossover,True,NVO,1d,-0.0802,-0.0027,0.0711,0.3,0.6,30,-0.0133,False,False
donchian_bo,donchian_bo,False,NVO,1d,-0.8111,-0.0138,0.0827,0.3974,0.64,78,-0.0669,False,False
donchian_bo+regime,donchian_bo,True,NVO,1d,-0.7062,-0.0098,0.0629,0.3333,0.6,48,-0.0477,False,False
macd_momentum,macd_momentum,False,NVO,1d,-0.4306,-0.0359,0.2049,0.3404,0.72,47,-0.1367,False,True
macd_momentum+regime,macd_momentum,True,NVO,1d,-0.338,-0.0277,0.2006,0.375,0.53,40,-0.1213,False,True
triple_screen,triple_screen,False,NVO,1d,-0.2259,-0.0237,0.2013,0.549,0.85,102,-0.109,False,True
triple_screen+regime,triple_screen,True,NVO,1d,-0.1,-0.0099,0.2013,0.5588,0.91,68,-0.0466,False,True
atr_breakout,atr_breakout,False,NVO,1d,0.0178,-0.0035,0.2081,0.2615,1.02,65,-0.0151,False,True
atr_breakout+regime,atr_breakout,True,NVO,1d,-0.2514,-0.0237,0.2079,0.2222,0.74,45,-0.0981,False,True
momentum_long,momentum_long,False,NVO,1d,0.434,0.0472,0.1963,0.5,3.66,6,0.2585,False,False
momentum_long+regime,momentum_long,True,NVO,1d,0.6067,0.1,0.2118,0.5,2.84,14,0.5819,False,True
alpha_composite,alpha_composite,False,NVO,1d,0.3289,0.0314,0.1832,0.4476,1.06,143,0.1666,False,False
alpha_composite+regime,alpha_composite,True,NVO,1d,0.2596,0.0216,0.1718,0.4124,0.96,97,0.1121,False,False
alpha_trend_v2,alpha_trend_v2,False,NVO,1d,0.2887,0.0208,0.1468,0.4653,1.1,144,0.1082,False,False
alpha_trend_v2+regime,alpha_trend_v2,True,NVO,1d,0.0449,0.0008,0.1348,0.4242,0.93,99,0.0038,False,False
alpha_momentum_v2,alpha_momentum_v2,False,NVO,1d,0.3304,0.0402,0.2044,0.5588,1.08,34,0.0574,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,NVO,1d,0.3374,0.0435,0.2081,0.3455,1.05,55,0.1747,False,True
ema_crossover,ema_crossover,False,PLTR,1d,0.4625,0.0455,0.1566,0.25,2.27,24,0.2483,False,False
ema_crossover+regime,ema_crossover,True,PLTR,1d,0.7131,0.1034,0.1748,0.3333,4.53,18,0.6323,False,False
donchian_bo,donchian_bo,False,PLTR,1d,0.4981,0.0312,0.063,0.3472,0.91,72,0.1653,False,False
donchian_bo+regime,donchian_bo,True,PLTR,1d,0.5451,0.0334,0.063,0.3279,0.9,61,0.1778,False,False
macd_momentum,macd_momentum,False,PLTR,1d,0.7536,0.0712,0.1776,0.4681,1.87,47,0.4088,False,False
macd_momentum+regime,macd_momentum,True,PLTR,1d,0.2821,0.0285,0.1958,0.4444,1.91,36,0.1502,False,False
triple_screen,triple_screen,False,PLTR,1d,-0.4532,-0.0627,0.2037,0.4643,0.77,28,-0.1158,False,True
triple_screen+regime,triple_screen,True,PLTR,1d,0.3088,0.0359,0.1999,0.6567,1.26,67,0.192,False,False
atr_breakout,atr_breakout,False,PLTR,1d,-0.2803,-0.0557,0.2045,0.3462,0.74,26,-0.102,False,True
atr_breakout+regime,atr_breakout,True,PLTR,1d,-0.9955,-0.1105,0.2192,0.1667,0.15,12,-0.2184,False,True
momentum_long,momentum_long,False,PLTR,1d,1.0374,0.2432,0.2058,0.3333,8.61,6,1.3232,False,True
momentum_long+regime,momentum_long,True,PLTR,1d,0.3715,0.0541,0.2155,0.4,2.94,5,0.1512,False,True
alpha_composite,alpha_composite,False,PLTR,1d,-0.7801,-0.1343,0.2051,0.3333,0.29,12,-0.1067,False,True
alpha_composite+regime,alpha_composite,True,PLTR,1d,-0.1786,-0.061,0.2152,0.2727,0.38,11,-0.1125,False,True
alpha_trend_v2,alpha_trend_v2,False,PLTR,1d,-1.3774,-0.1435,0.2048,0.2,0.21,20,-0.1503,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,PLTR,1d,-0.1349,-0.0472,0.215,0.2308,0.31,13,-0.0876,False,True
alpha_momentum_v2,alpha_momentum_v2,False,PLTR,1d,-0.3619,-0.1469,0.2011,0.3333,0.62,3,-0.0426,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,PLTR,1d,0.0629,-0.0116,0.2089,0.375,0.63,8,-0.0219,False,True
ema_crossover,ema_crossover,False,QQQ,1d,0.7151,0.01,0.0221,0.4545,2.21,22,0.0508,False,False
ema_crossover+regime,ema_crossover,True,QQQ,1d,0.7242,0.015,0.0282,0.3684,2.1,19,0.077,False,False
donchian_bo,donchian_bo,False,QQQ,1d,-0.4295,-0.0024,0.014,0.3882,0.72,85,-0.0119,False,False
donchian_bo+regime,donchian_bo,True,QQQ,1d,-0.3563,-0.0018,0.0098,0.4167,0.73,60,-0.0087,False,False
macd_momentum,macd_momentum,False,QQQ,1d,-0.0708,-0.0024,0.0536,0.4255,0.99,47,-0.012,False,False
macd_momentum+regime,macd_momentum,True,QQQ,1d,-0.1599,-0.0067,0.0795,0.375,0.83,40,-0.0329,False,False
triple_screen,triple_screen,False,QQQ,1d,-0.1468,-0.0086,0.1152,0.566,0.91,106,-0.042,False,False
triple_screen+regime,triple_screen,True,QQQ,1d,0.0376,0.0007,0.0532,0.5882,1.03,85,0.0035,False,False
atr_breakout,atr_breakout,False,QQQ,1d,0.2953,0.0147,0.1493,0.3662,1.22,71,0.0756,False,False
atr_breakout+regime,atr_breakout,True,QQQ,1d,0.496,0.0208,0.0623,0.4231,1.56,52,0.1081,False,False
momentum_long,momentum_long,False,QQQ,1d,0.4466,0.0232,0.1209,0.3333,2.9,9,0.1208,False,False
momentum_long+regime,momentum_long,True,QQQ,1d,0.5576,0.0366,0.0929,0.4545,2.4,11,0.1959,False,False
alpha_composite,alpha_composite,False,QQQ,1d,0.1196,0.0056,0.126,0.4904,0.87,157,0.0281,False,False
alpha_composite+regime,alpha_composite,True,QQQ,1d,0.3749,0.0165,0.0573,0.4955,0.97,111,0.0847,False,False
alpha_trend_v2,alpha_trend_v2,False,QQQ,1d,0.2122,0.011,0.1091,0.5082,0.88,183,0.056,False,False
alpha_trend_v2+regime,alpha_trend_v2,True,QQQ,1d,0.4271,0.02,0.0815,0.5188,1.0,133,0.1034,False,False
alpha_momentum_v2,alpha_momentum_v2,False,QQQ,1d,-1.0666,-0.1561,0.2043,0.3871,0.4,31,-0.1691,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,QQQ,1d,-0.6258,-0.0594,0.213,0.5824,0.9,91,-0.213,False,True
ema_crossover,ema_crossover,False,SPY,1d,0.6734,0.0071,0.013,0.5,2.59,22,0.0356,False,False
ema_crossover+regime,ema_crossover,True,SPY,1d,0.7266,0.0088,0.0154,0.3889,2.45,18,0.0449,False,False
donchian_bo,donchian_bo,False,SPY,1d,-1.4893,-0.0055,0.0287,0.3039,0.4,102,-0.0269,False,False
donchian_bo+regime,donchian_bo,True,SPY,1d,-1.7054,-0.0051,0.0271,0.24,0.28,75,-0.0254,False,False
macd_momentum,macd_momentum,False,SPY,1d,0.1299,0.0024,0.0331,0.3621,0.97,58,0.012,False,False
macd_momentum+regime,macd_momentum,True,SPY,1d,-0.0399,-0.0011,0.045,0.3778,0.8,45,-0.0054,False,False
triple_screen,triple_screen,False,SPY,1d,-0.7011,-0.0284,0.1396,0.5508,0.64,118,-0.1337,False,False
triple_screen+regime,triple_screen,True,SPY,1d,-0.4525,-0.0144,0.0738,0.5604,0.71,91,-0.0696,False,False
atr_breakout,atr_breakout,False,SPY,1d,-0.2076,-0.0094,0.1325,0.3171,0.87,82,-0.0459,False,False
atr_breakout+regime,atr_breakout,True,SPY,1d,0.0507,0.0011,0.0583,0.3091,1.07,55,0.0054,False,False
momentum_long,momentum_long,False,SPY,1d,0.5818,0.0238,0.0733,0.4286,5.26,7,0.1244,False,False
momentum_long+regime,momentum_long,True,SPY,1d,0.4919,0.0158,0.0646,0.3333,2.53,15,0.0814,False,False
alpha_composite,alpha_composite,False,SPY,1d,-0.1907,-0.0079,0.094,0.5211,0.8,190,-0.0387,False,False
alpha_composite+regime,alpha_composite,True,SPY,1d,-0.3415,-0.0089,0.0738,0.5357,0.79,140,-0.0434,False,False
alpha_trend_v2,alpha_trend_v2,False,SPY,1d,-0.3561,-0.0148,0.1209,0.505,0.73,202,-0.0716,False,False
alpha_trend_v2+regime,alpha_trend_v2,True,SPY,1d,-0.4096,-0.0096,0.0767,0.5235,0.73,149,-0.0469,False,False
alpha_momentum_v2,alpha_momentum_v2,False,SPY,1d,0.1016,0.0052,0.1866,0.5683,0.98,183,0.0259,False,False
alpha_momentum_v2+regime,alpha_momentum_v2,True,SPY,1d,-0.0398,-0.0051,0.1121,0.5704,0.95,135,-0.0254,False,False
ema_crossover,ema_crossover,False,TSLA,1d,0.5311,0.0271,0.0707,0.3913,2.17,23,0.1424,False,False
ema_crossover+regime,ema_crossover,True,TSLA,1d,0.1997,0.0138,0.1599,0.3684,1.81,19,0.0704,False,False
donchian_bo,donchian_bo,False,TSLA,1d,0.3217,0.0195,0.1329,0.4038,1.46,52,0.1011,False,False
donchian_bo+regime,donchian_bo,True,TSLA,1d,0.4187,0.0256,0.1329,0.4,1.42,40,0.1341,False,False
macd_momentum,macd_momentum,False,TSLA,1d,0.8328,0.0676,0.1184,0.3265,2.18,49,0.3854,False,False
macd_momentum+regime,macd_momentum,True,TSLA,1d,-0.0588,-0.0149,0.203,0.4,0.38,5,-0.0248,False,True
triple_screen,triple_screen,False,TSLA,1d,-0.1185,-0.0239,0.2021,0.6275,0.93,51,-0.0772,False,True
triple_screen+regime,triple_screen,True,TSLA,1d,-0.4454,-0.0471,0.2112,0.5161,0.72,31,-0.1483,False,True
atr_breakout,atr_breakout,False,TSLA,1d,0.6404,0.1059,0.2019,0.3065,1.62,62,0.4913,False,True
atr_breakout+regime,atr_breakout,True,TSLA,1d,0.5564,0.078,0.2182,0.275,1.61,40,0.366,False,True
momentum_long,momentum_long,False,TSLA,1d,0.7349,0.185,0.2153,1.0,999.9,1,0.1274,False,True
momentum_long+regime,momentum_long,True,TSLA,1d,0.0903,0.002,0.2266,0.5,0.99,10,0.0078,False,True
alpha_composite,alpha_composite,False,TSLA,1d,-0.2478,-0.0577,0.2147,0.45,1.27,20,-0.0634,False,True
alpha_composite+regime,alpha_composite,True,TSLA,1d,0.2253,0.0228,0.2828,0.4677,1.41,62,0.0983,False,True
alpha_trend_v2,alpha_trend_v2,False,TSLA,1d,-0.3479,-0.0574,0.2017,0.3667,0.81,30,-0.068,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,TSLA,1d,0.0403,-0.0061,0.2623,0.507,1.23,71,-0.025,False,True
alpha_momentum_v2,alpha_momentum_v2,False,TSLA,1d,0.5299,0.1116,0.231,0.5238,1.76,21,0.1343,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,TSLA,1d,-0.2255,-0.0313,0.2039,0.5385,0.99,13,-0.0632,False,True
ema_crossover,ema_crossover,False,V,1d,-0.3002,-0.0047,0.036,0.3571,0.71,28,-0.0233,False,False
ema_crossover+regime,ema_crossover,True,V,1d,-0.5666,-0.0093,0.0463,0.24,0.63,25,-0.0457,False,False
donchian_bo,donchian_bo,False,V,1d,-1.4227,-0.0079,0.0397,0.3333,0.32,66,-0.0388,False,False
donchian_bo+regime,donchian_bo,True,V,1d,-1.2938,-0.0058,0.0316,0.3191,0.27,47,-0.0286,False,False
macd_momentum,macd_momentum,False,V,1d,-0.2885,-0.0106,0.0817,0.3148,0.79,54,-0.0516,False,False
macd_momentum+regime,macd_momentum,True,V,1d,-0.3909,-0.0106,0.0736,0.2143,0.69,42,-0.0519,False,False
triple_screen,triple_screen,False,V,1d,-0.4144,-0.0246,0.1804,0.5686,0.81,102,-0.1168,False,False
triple_screen+regime,triple_screen,True,V,1d,-0.3856,-0.0163,0.1001,0.5714,0.8,77,-0.0786,False,False
atr_breakout,atr_breakout,False,V,1d,-0.3513,-0.0216,0.15,0.3457,0.74,81,-0.1029,False,False
atr_breakout+regime,atr_breakout,True,V,1d,-0.1777,-0.0081,0.0972,0.2857,0.8,56,-0.0396,False,False
momentum_long,momentum_long,False,V,1d,0.101,0.0038,0.0961,0.1538,1.21,13,0.0192,False,False
momentum_long+regime,momentum_long,True,V,1d,-0.046,-0.0047,0.1254,0.25,1.11,16,-0.023,False,False
alpha_composite,alpha_composite,False,V,1d,-0.9871,-0.0601,0.2,0.39,0.47,100,-0.1935,False,True
alpha_composite+regime,alpha_composite,True,V,1d,-0.6606,-0.0315,0.1531,0.4804,0.6,102,-0.1473,False,False
alpha_trend_v2,alpha_trend_v2,False,V,1d,-1.1524,-0.063,0.2083,0.4065,0.61,123,-0.2019,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,V,1d,-0.9308,-0.0378,0.1795,0.472,0.6,125,-0.1744,False,False
alpha_momentum_v2,alpha_momentum_v2,False,V,1d,-0.7015,-0.1237,0.2001,0.3696,0.35,46,-0.1732,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,V,1d,-0.3977,-0.034,0.1747,0.5044,0.7,113,-0.1581,False,False
