strategy,symbol,timeframe,valid_combos,best_sharpe,best_cagr,best_max_drawdown,best_trade_count,gate1_pass,wf_folds,overfitting_score,gate2_pass,best_params,error
cci_trend+stop,AAPL,1d,33,1.2267,0.1279,0.1256,14,False,4,0.6624,False,"{""entry_level"": 100.0, ""exit_level"": -50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,AMZN,1d,33,0.1996,0.0186,0.1872,24,False,4,1.8308,True,"{""entry_level"": 75.0, ""exit_level"": -50.0, ""vol_threshold"": 0.8}",
cci_trend+stop,ASML,1d,33,1.0023,0.1224,0.1185,11,False,4,0.8089,True,"{""entry_level"": 50.0, ""exit_level"": -50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,AVGO,1d,33,0.6266,0.105,0.1252,19,False,4,0.2931,False,"{""entry_level"": 125.0, ""exit_level"": 50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,CRWD,1d,33,-0.4412,-0.1142,0.2314,4,False,4,0.9212,True,"{""entry_level"": 50.0, ""exit_level"": -50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,GOOG,1d,33,0.4878,0.0555,0.1862,16,False,4,4.9195,True,"{""entry_level"": 50.0, ""exit_level"": -50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,MA,1d,33,-0.122,-0.014,0.1701,24,False,4,0.1473,False,"{""entry_level"": 50.0, ""exit_level"": 0.0, ""vol_threshold"": 1.0}",
cci_trend+stop,META,1d,33,0.9757,0.1951,0.1337,23,False,4,0.702,True,"{""entry_level"": 75.0, ""exit_level"": 0.0, ""vol_threshold"": 1.0}",
cci_trend+stop,MSFT,1d,33,0.8232,0.0669,0.1337,13,False,4,0.3656,False,"{""entry_level"": 125.0, ""exit_level"": 0.0, ""vol_threshold"": 1.2}",
cci_trend+stop,NOW,1d,33,0.4956,0.0558,0.1539,14,False,4,0.5872,False,"{""entry_level"": 125.0, ""exit_level"": 0.0, ""vol_threshold"": 1.2}",
cci_trend+stop,NVDA,1d,33,1.3879,0.4171,0.2144,33,True,4,0.8204,True,"{""entry_level"": 75.0, ""exit_level"": 50.0, ""vol_threshold"": 0.8}",
cci_trend+stop,NVO,1d,33,0.6288,0.0692,0.1707,13,False,4,0.596,False,"{""entry_level"": 125.0, ""exit_level"": -50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,PLTR,1d,33,0.2973,0.0449,0.2103,4,False,4,2.8009,True,"{""entry_level"": 75.0, ""exit_level"": -50.0, ""vol_threshold"": 0.8}",
cci_trend+stop,QQQ,1d,33,0.8065,0.0549,0.0729,17,False,4,0.214,False,"{""entry_level"": 100.0, ""exit_level"": -50.0, ""vol_threshold"": 1.0}",
cci_trend+stop,SPY,1d,33,0.5218,0.0199,0.0539,11,False,4,1.831,True,"{""entry_level"": 125.0, ""exit_level"": -50.0, ""vol_threshold"": 1.0}",
cci_trend+stop,TSLA,1d,33,1.5265,0.4623,0.2078,4,False,4,0.4003,False,"{""entry_level"": 50.0, ""exit_level"": -50.0, ""vol_threshold"": 0.8}",
cci_trend+stop,V,1d,33,-0.065,-0.0052,0.1025,23,False,4,1.3641,True,"{""entry_level"": 100.0, ""exit_level"": 50.0, ""vol_threshold"": 1.0}",
hull_ma_crossover+stop,AAPL,1d,27,0.5051,0.0388,0.1153,17,False,4,0.5469,False,"{""fast_period"": 34, ""slow_period"": 89, ""trend_period"": 50}",
hull_ma_crossover+stop,AMZN,1d,27,0.3284,0.0316,0.1375,26,False,4,0.6797,False,"{""fast_period"": 13, ""slow_period"": 89, ""trend_period"": 50}",
hull_ma_crossover+stop,ASML,1d,27,0.7311,0.0741,0.0964,11,False,4,1.136,True,"{""fast_period"": 13, ""slow_period"": 144, ""trend_period"": 100}",
